,text,labels1,labels2
88,'If I allow my worry to consume me - all that I worry about will be given the opportunity to manifest.' ~ #Eleesha ღ #quote #worry #trust,trust,trust
89,"Honey, you hurt me the way the sun touches my skin today #Sinatra\n\n#quote  #success",disgust,disgust
90,"@Transition My perception of J culture is that they would be torn between the ritualistic act, and the indignity of the experience :-)",anticipation,anticipation
91,"@DJVigilanteSA Don't fret! Twitter is here to ensure that I swear on 'em, without a civil war!!!",disgust,disgust
92,@topnotch200 I don't know my mouth was burning the whole time,disgust,disgust
93,A woman is sterilised because she is certain that she doesn't want children. What exactly is there to discuss? 😠 #LooseWomen,disgust,disgust
94,"Not only was @ReignOfApril and @deray responsible for the unnecessary outrage of this movie, but made the director @mattreevesLA look bad",disgust,disgust
95,"This the way I rage, \n\non sum wopstar shit ⭐️",disgust,disgust
96,"@TEN_GOP @Dj_MadArab outlier fail. Btw, nothing to see here 😄",surprise,surprise
97,"I don't know what to say. I'm so tired rn. Maybe one more time, and I'll burst out of anger.",disgust,disgust
98,"#nokia6 announced in US after India., still its available there..and in india waiting since ages. #bad @nokiamobile #disappointed",disgust,disgust
99,Anybody else getting furious about all the ads / articles filled with #WalkingDead &amp; #GoT spoilers? #mad #furious #sad #SpoilerAlert,disgust,disgust
100,#depression is a condition which will affect an estimated one in five of the population at some point in their lives,disgust,disgust
101,"@chuckwoolery I Feel sick reading this, when does it end? #dread #civil war? #sad",disgust,disgust
102,@abpnewstv @narendramodi What action is the government contemplating to apprehend the culprits? Condemning the incident is not enough.,disgust,disgust
103,@_Nafami_ 😂 He looked like a sea weed version of cousin IT from adams family and was reaaaally tall.,anticipation,surprise
104,how i drink two 40s and im still somewhat sober ?,surprise,surprise
105,Oh Canada 🇨🇦 shouldn't be sung like that. #terrible #MLBTHESHOW17,disgust,disgust
106,"@Sceptic_1985 I think we underestimate them at our peril. IMHO Bannon, Ryan, McConnell, ect. will accomplish terrible things if allowed to.",anticipation,disgust
107,"I think about you when I'm drunk, but can't stand the thought of you when I'm sober.",disgust,disgust
108,These restless nights and early mornings aren't good. 😫😪,disgust,disgust
109,We really need a strong action against this #AmarnathTerrorAttack !\nThis is really high time!\n\n #sad #frustrated ,disgust,disgust
110,this #overcast #cloudy #rainy weather makes me #lazy #glum and #sad,disgust,disgust
111,this person hasn't uploaded episode six or seven of the lodge and i'm ,disgust,disgust
112,@LovinUnited That'll be Madrid throwing a huff over Morata and De Gea. Fuck them,disgust,disgust
113,I think #Saudis are responsible for most of the #islamic #terror in the world. Both with their #Wahhabism and by financing terrorists …,disgust,disgust
114,Of course I've got a horrible cold and am breaking out 2 days before grad 👍🏼👍🏼👍🏼👍🏼👍🏼,disgust,disgust
115,"@cragget @adamliaw if I catch you making tea with water boiled up to 100 degrees, there will be dire consequences",disgust,disgust
116,@ghenesnowdon @NoOneGOT2 @MochaUson Exactly  because of their  #FiatLoserIdiotAquinoFollower,disgust,disgust
117,@xysist Wise you mean? 😅,anticipation,anticipation
118,7. I have alot of opinions about alot of things. I just dont say it because i'm gonna 'add insult to injury' ☺☹,disgust,disgust
119,@RiggsBarstool big revenge guy,anticipation,anticipation
120,Odd watching #Antifa extremists going full spectrum to become Fascists\n\n#Violence #Hate #angry #Clueless #YOUTH in mom's #basement come out,disgust,disgust
121,'I think our dreams can motivate us more than our fears can paralyze us.'  ~  Chris Hogan  #dreams #fears #life,trust,trust
122,@MercedesUKTeam Yes I tried but no help really. No contact back from them. #dissapointed,disgust,disgust
123,@GorjusGeorge5 @MrBridger1905 I'm fuming that you're fuming 🙄 #fuming,disgust,disgust
124,"ugh going to college tm, so nervous.   #college #life #collegelife #newyearnewme",anticipation,anticipation
125,@SenecaReads @zimyix @MouthyBuddha I bet he needed to take an anime break and drink a Zima after all the furious typing.,anticipation,disgust
126,sardonyx expresses herself through supporting the team with your incredible yo-yo skills and depression okay,disgust,disgust
127,@Fish_pw But I would say that wouldn't I #bitter 😂,disgust,disgust
128,@DebraHorrocks @Fash_Rev have some shocking stats #fashionrevolution,disgust,surprise
129,Girls dmme your snap chat account,anticipation,disgust
130,"The patients were increasingly protected during heart attacks, chains have encouraged smoke, anger and hundreds of new hospitals.",disgust,disgust
131,@DonaldJTrumpJr you look shook! #afraid #shook #impeach #youaregoingdown,disgust,disgust
132,Words are simply amazing people can twist them and make them say anything 😅,surprise,surprise
133,Wooo so happy right now! Just bought my tickets to see @NiallOfficial next summer in Dublin.Can't wait 😁 #niallhoran #Dublin #music ,anticipation,anticipation
134,"'You run, I con. A tiger doesn't change her stripes'. #lost #sawyer",anticipation,anticipation
135,@websvalor (c) grew with resentment for herself and the world around her.\n\nHer spine tingled as she heard the incessant clicking of a (c),disgust,disgust
136,@instaafp are we in for Lemar even though wenger was very coy about him in his press conference,anticipation,surprise
137,"My mother-in-law, in a fit of #rage, referred to someone as a 'yo-yo'.\n#yoyo #motherinlaw #amirite #fitofrage",disgust,disgust
138,"@realDonaldTrump Maybe don't nom so many raging dicks, Donny!  Jeez, it's like teaching a baby to fly a jet!",disgust,disgust
139,@prisonerben1 Try explaining to Joe Public these charities do not simply give offenders 'treats' #despair,disgust,disgust
140,@realDonaldTrump believe it! you can start your temper tantrum now/,disgust,disgust
141,@jh00die Really?? Because music analyzes your screenshots with my microscope too??? I didn't think so #offended,disgust,disgust
142,#LT a mom let her kid pay for the bus. The kid dropped the coins. I'm boiling in rage. My face may be straight bu my eyes say IMGONNAKILLYA,disgust,disgust
143,Uncharted 4 on Crushing is the least fun I've ever ha splaying a video game  ,disgust,disgust
144,"Thinking more, KD winning #BestChampionshipPerformance at the @ESPYS is as bad as Jason Garrett winning Coach of the Year.  #justno",disgust,disgust
145,"you begin to irritate me, primitive",disgust,disgust
146,Hey The Success Novel thanks for the follow! (UN)FOLLOW=(UN)FOLLOW Please visit my #twitter handle #quoteboxindia for #awesome #picture #qu…,trust,trust
147,"@bookish_yogi It's been a little Twitter saga lately. The tea thing is horrific, plus they never have fresh milk to put in it.",disgust,disgust
148,"And yet again, @MarliePacker sets the back row bar high... Tackling and support play outstanding. Congrats on your 50th cap! #inspiring",trust,trust
149,"Whoops! I see (&lt;---) it's time to move on to the news. Grab your ☕️, &amp; lets head out &amp; see (&lt;---) what 🔥's are burning today.",anticipation,anticipation
150,May new update nanaman ang Bloody Crayons 😆,anticipation,disgust
151,Three more shifts then I start the next part of my tutorship in response #enjoyingthelastfewdays #excited #nervous #newchallanges,anticipation,anticipation
152,This nightmare is nearly over gang gang gang,anticipation,anticipation
153,i haven't had to speak maltese in over two years and now have relatives calling me about the trip and it's terrible 🙃,disgust,disgust
154,"Cold sores are the worst. The second you smile or laugh, it's over. Blood everywhere",disgust,disgust
155,@ItsARipper Ganguly chose? It is Kohli's provocation which compelled Dada to pick that pretentious fuck.,anticipation,disgust
156,@Skype I've just logged into the new-look app and none of my contacts or convos are there. It's all gone. 😑 #upgradefail #annoyed,disgust,disgust
157,@RanaAyyub @rajnathsingh She is Right shld burn them alive 😡 it's even more better if they burn you with ur brothers 😠,disgust,disgust
158,@AdamZHerman shocked as well. but bc I cheer for another club in the swiss league…,surprise,surprise
159,@Aidan_Herring_ @JACKElCHEL @NHLNetwork @DallasStars The banner I look at from my seats at the AAC tells me otherwise. #good,anticipation,anticipation
160,@British_Airways They give awful service and you haven't got back to my complaint yet. Can you guess the airline? #dontflyBA #annoyed,disgust,disgust
161,@colecubelic So are you saying there's a good chance that two teams might *gasp* finish last? One in the East and one in the West? #offended,disgust,disgust
162,@beenthatkyd so I scrolled back up on the '17 GC because I missed it earlier and man you toooooooooo funny 😂😂😂😂😂 hilarious headassss!!!,surprise,surprise
163,"We're in the bathroom and you perch on the sink,\nI begin to infatuate, exasperate, resuscitate.",disgust,disgust
164,@Brooksvb 😱 that's just terrible,disgust,disgust
165,"Whatever you want to do, if you want to be #great at it, you have to #love it and be able to make sacrifices for it. #Quotes for you",anticipation,trust
166,That became obvious with the Morata saga. The fucking bitter old cunt turned down 70m for that sideman.,disgust,disgust
167,@nickjonas is coming for DePaul's welcome week and I'll be in Cali 🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄 #pissed,disgust,disgust
168,Signs of Incipient Faggotry are the arsehole quivering and puckering.,disgust,disgust
169,Mosquito bit my ankle this morning 😢 walking into the house . ,disgust,disgust
170,i'm nervous,anticipation,anticipation
171,@denisebatters I blame @stephenharper for these terrible terrible rules. ,disgust,disgust
172,"I must stop with these loan jokes,people will think I'm serious and get annoyed with me 😂😂😒",disgust,disgust
173,I've developed a new philosophy... I only #dread one day at a time.,anticipation,anticipation
174,"Ideals are peaceful, history is violent. #fury",disgust,disgust
175,hate tan lines but refuse to tan at a salon anymore. 🙄 ,disgust,disgust
176,this weather = my mood ☔ #miserable,disgust,disgust
177,@VirginTrains Why do you send me a sales email suggesting that I am procrastinating 'asking out Derek from accounts'?  I am male. ,disgust,disgust
178,I apologize whenever I'm throwing tantrums...,disgust,disgust
179,"@BethRigby ...so near yet so far.corbyn +lab doing much better but without even a majority + out of govt 3 times now, resentment will return",trust,trust
180,@hannahcburke_ let that sink in,anticipation,anticipation
181,"Model Town massacre represented the height of terrorism, savagery and oppression committed by the rulers\n#ArrestModelTownKillers",disgust,disgust
182,She doesn't know how to smile! So be it! #pissed 😏😒😠😡😤👀👄👊👎🙍💔,disgust,disgust
183,"Humble yourself in the sight of the LORD. If we have died in Christ, then how can we be offended? A dead person cannot feel anything, right?",anticipation,trust
184,Chiropractor time  #crackle #pop #chiropractor,anticipation,anticipation
185,Totally forgot to bring my healthy breakfast into work...all types of #upset w/ myself.,disgust,disgust
186,"@ANI_news Sir, what about 2G, 3G, 4G, Coalgate, scams Parliament Attack, Mumbai terror attacks despite intelligence input.",disgust,disgust
187,watching that video and realizing that I've gotten uglier #depressed,disgust,disgust
188,@hateweed I had the worst alarm ringtone and would wake up irrationally pissed everyday until I changed it to something nice lol,disgust,disgust
189,dark lucha truly is the best,trust,trust
190,I'm so sick of that 'I'm done w. My ex na we're never getting back together' crap so You can get back together in like a month 😂,disgust,disgust
191,@MerkTheWorld This thread is hilarious!!!!,anticipation,anticipation
192,Was sort of hoping #EclipseDay would mean my world would change and cardio would make me go blind #EclipseSolar2017 #dissapointed #exercise,disgust,disgust
193,I'm legit in the worst mood ever. #annoyed #irritated,disgust,disgust
194,"I think that Nuclear weapon and Cyber weapon are big threats, but I think that the bigger threat is Scalar weapon ...\n#scalar #threat",disgust,disgust
195,The formula of happiness rather than inertia. #elated,surprise,surprise
196,@realDonaldTrump I am so glad you won't have Twitter in jail! #LockHimUp #LockDonJrUp 💩💩💩💩💩 #sad,disgust,disgust
197,"Watching #ScottishOpenHeroChallenge from last night... Smoke, flames, tense sound effects and lively commentary.. #boring #dull #shite 🙈",disgust,disgust
198,@SkyNews @CNN @cnnbrk watching the #totalsolareclipse on ur channels right now #amazing what's happening in the #usa,anticipation,anticipation
199,"faint glimpse of the circling stars. Presently, as I went on, still gaining velocity, the palpitation of night and day merged into one",anticipation,anticipation
200,One week on SW and going to gym. Smashed it #weekone  #goals #sw,anticipation,anticipation
201,'look at your face in a mirror... You are so fat and dark... You can't have lunch with us' #kids #meangirls #rude #insult,disgust,disgust
202,I'm so angry,disgust,disgust
203,"my name is sara, im 20 years old and i cant believe boiling an onion is making me cry",surprise,surprise
204,@dailysunsa Jerrrrrr a woman is been stabbed in the face and now guys r arguing about her ass being real or not hehehee ,disgust,disgust
205,going to sleep was a bad idea i had a horrible nightmare abt what i hate the most in a nightmare but its fine im ok,disgust,disgust
206,"AJ ends up being a terrible character, but no one in his family ever actually speaks to him. He witnesses so much and just gets sent away.",disgust,disgust
207,"@IDFsoldiergirl Like you said, its all propaganda against #Israel. Palestinian adults and their Govt are full of #hatred. So sad to see",disgust,disgust
208,@mir_btc Eherium should make everybody happy,anticipation,anticipation
209,@RosieHale Bro no you don't you'll be so dissapointed in me 😂 il let you read it next time you're down here tho 💁,anticipation,anticipation
210,@kathryn_dennis keep your head clear an focused. Do not let T intimidate you or use your children to silence you! Hate when a man does that!,disgust,disgust
211,If your only response to this current political crap show is 'but Hillary!!' Or 'but Obama!!' you need to start looking for a new argument.,disgust,disgust
212,Don't justify Terrorism as communal hatred. #AmarnathTerrorAttack is sheer Act of cowardice. Let's unite together against terrorism. Luv all,trust,trust
213,God bless him in Hong Kong! #ex ,anticipation,anticipation
214,@seydacanim The best of make up horror story...,anticipation,surprise
215,@ShekharGupta @YusufDFI Naming India Lynchistan is not provocation terror is a provication even when terror has no religion.,disgust,disgust
216,The best bridge between despair and hope is a good night's sleep.,anticipation,anticipation
217,"@realDonaldTrump Why don't you try nominating qualified people; B.DeVos, T.Pruitt, R.Perry,etc...really? They are terrible!",disgust,disgust
218,@RightNewsUK Poor dogs! Have to bite that sun of a bitch! 😠,disgust,disgust
219,@TeamBoA Jim is ok. He refuses to come back to #reality but at least he doesn't #insult like the rest of ignorants...,disgust,disgust
220,@ObeyTwig At least smile a little holy crap Twiggy.,anticipation,disgust
221,"we will send video to proper agency ,state workers harass the public to fuel the ego of Scott Arniel  and trial court what the bleep #bully",disgust,disgust
222,@GutoAberconwy Your majority is 635 members of the public- believe me you have offended rather more than 635 voters!,disgust,disgust
223,@6oulz @slayerlmfao no it was a selfie of him from seven months  ago look at the top left of the snap people,anticipation,anticipation
224,@IvankaTrump What's up w the profile pic?? ,anticipation,surprise
225,distract yourself from the fiery hellscape that is 2017 America with a free small cup of frozen sugar water #FreeSlurpeeDay,anticipation,anticipation
226,"A SPELLBINDING performance by @DebsNewbold. Electric physicality and sheer awe. A pleasure to watch, thank you. #ueafly",surprise,surprise
227,@cyclingweekly 'shocking' ???  Nah that's not Shocking . Richie Portes crash ...THAT WAS  shocking . #tourdefrance2017,surprise,surprise
228,"Just know USA, all Canadians don't agree with what Khadr's settlement and his unwillingness to take responsibility for his actions. #outrage",disgust,disgust
229,AHHHHHHHHHHHH #dread OMFG! It's so good...@JoinTeamAlpha @Hydra_Lord @executivegoth @matthewmercer @enthusiamy @vorpahlsword @satinephoenix,anticipation,anticipation
230,"@MeBeIssy I have now made this journey around Earth a total of 105,755 times since I began. #restless",disgust,disgust
231,Knew Tulip was hiding something but I never would have guessed that she was married 😧 #Preacher,surprise,surprise
232,"@Liz_Hanbury Oh no, jumper on again, has it turned colder? 😟 Have a terrific day🙋🏼🌸🌼🌻💕💕",disgust,disgust
233,@shelby_Billsfan @buffalobills They kinda hafta be these days. #bleak 😬,disgust,disgust
234,the thing about living near campus during the summer is that it's a ghost town but now everyone is back and im #annoyed,disgust,disgust
235,I just got insulted with my own insult... 😪😪😪,disgust,disgust
236,"Oklahoma, South Carolina, Idaho, and Louisiana I'll see you this fall 😍 #excitement",anticipation,anticipation
237,When every @IndianExpress Indian in a gloomy mood some one is trying to catch the Fish in Muddy water TO BECOME VICE PRESIDENT.WHAT A CRAVE,disgust,disgust
238,I fw @ralofamgoon he don't hesitate to speak his mind,anticipation,trust
239,"@bambustyk He looks scared and burdened, but he withstands all that and comeback stronger! 😭 I'm crying, he is so strong 👍🏻",anticipation,surprise
240,"Negative self-talk in #depression can extend to sleep, with catastrophic thinking about the impact of poor sleep fueling insomnia.",disgust,disgust
241,"When Dino was making a fool of himself with that Ajekun iya stunt, y'll hailing him but a bereaved person got a chance to be joyful = abuse?",anticipation,disgust
242,Mentally suffered #iwanttodie #worthless #lifewithoutcolor  #pain #suicidal,disgust,disgust
243,So exhausted I could cry 😭,disgust,disgust
244,"@Belle_Canberra ya he was asking leading qns to provoke me, I wish I hadnt gotten so upset :)",disgust,disgust
245,They cancelled Chewing Gum. #devastated,disgust,disgust
246,Usually love @KatiePrice but watching #mycrazylife its sad how that affair her hubby had has ruined &amp; changed her #obnoxious #cruel #bitter,disgust,disgust
247,@Alyssa_Milano @mothergooseAZ @realDonaldTrump is #laughing all the way to the #bank and #America is paying for it all. 💰 💰 💰,disgust,disgust
248,@snowflakenest @bollytoybee @Alexicon83 You need a new tactic post-Trump/Brexit. Hurling that insult around no longer works I'm afraid.,disgust,disgust
249,#Thoughtoftheday: 'Perpetual optimism is a force multiplier.' - Colin Powell #quote #optimism #positivity,trust,trust
250,"@AvrilLavigne Mom A. i saw ur insta, why? ur picture black in white, but☝ it's nice ur smile :) winner💕💕🌸🌸🌸",trust,trust
251,"If I were my own republic, I would declare war on patchouli incense.",disgust,disgust
252,First time using @thetrainline app and definitely be the last - not a happy first time customer #disapointed,disgust,disgust
253,@OfficerHedgehog That story just made me do a little sick in my mouth #grim,disgust,disgust
254,"So, if you have a really tiny penis, get help, but please don't try to compensate on the road  #bigcar #tinypenis #roadrage",disgust,disgust
255,'Florian Picasso - Final Call' is raging at ShoutDRIVE!,disgust,disgust
256,What is this inane waffling nonsense that @BBCSport @bbctennis is forcing us to endure every time John Inverdale takes the mic. #dreadful,disgust,disgust
257,@PageShhh1 I know you mean well but I'm offended. Prick.,disgust,disgust
258,"I follow this famous chick on snap and she put 'I'm snapping back' &amp; next snap says 'dudes stop sending your peepees, it's not cute.' 😂😂😂",anticipation,disgust
259,So apparently one of your bus drivers has a grudge against me @KingsTransit I was passed while waiting for it to stop. Real service there..,disgust,disgust
260,"#YummyMummiesAU Are you serious! Breastfeeding should be illegal?! You breathing our air should be illegal, dumbass! #stupid",disgust,disgust
261,Always beware of the racist liberal smiling in your face. #EmmanuelMacron #makelove #makebabies #racist,disgust,disgust
262,No offense to the girl next to me but dousing yourself with cheap cologne won't hide your rank smell,disgust,disgust
263,@trash_addict Things I've been called/heard with literally no provocation. I've just played and talked about the game:,anticipation,anticipation
264,Things that rage me: when I hear a man ask a woman if she thinks her skirt/dress is too short\n\n😨😵😠😡😤 #shame #rage #Feminism #feminist,disgust,disgust
265,'You have an amazing problem here' - @sbxr has spotted a huge privacy issue for TracTAG 😱 #SharkTankAU,anticipation,disgust
266,@Shirley_Sein who is that? 😧,surprise,surprise
267,The stupidest and weirdest thing people do. And what's more stupid than that? They upload it online. Oh my god. But good for laughter ah. 🤣🤣,disgust,disgust
268,Well the new AA advert is absolutely terrifying 😭 #creepy #possessed #horrifying,disgust,disgust
269,Wonder how many times connor says fuck in press conference #lost count,disgust,surprise
270,Every day I dread doing an 8 hour shift in retail 🙂,disgust,disgust
271,Santorini is so beautiful 😍,surprise,trust
272,2nd time this week I received services for free. It pays to be nice! #kindness #friendliness #bekind #smile,trust,trust
273,My neck still hurting though... 😥,disgust,disgust
274,"I'm an Indians fan so, I hate Joe Buck. Im glad he looks old af now. 😂 #bitter #AllStarGame",disgust,disgust
275,"@TweetmeJordan @jordanknight oh, that too! 🤣",surprise,surprise
276,"I got $150 on McGregor, who wanna bet? #serious",anticipation,anticipation
277,All of my friends are so attractive and am grim in comparison lol,disgust,disgust
278,on the upside i saw a corgi puppy on the tube today. my shining light in the dark.,anticipation,anticipation
279,@FilY0 @VPPilipinas @lenirobredo You are in dire need of therapy.,anticipation,disgust
280,Big surprise the OTHER woman shouting into her phone pulled the wrong coat and I'm a little afraid of it?,surprise,surprise
